,Catalytic rate (per second),Concentration (M),Flux threshold,Number of angles
183,200,1.995262314968875e-06,1.0,0
184,200,2.5118864315095717e-06,1.0,0
185,200,3.1622776601683665e-06,1.0,0
186,200,3.981071705534953e-06,1.0,0
187,200,5.0118723362726945e-06,1.0,0
188,200,6.3095734448018915e-06,1.0,0
189,200,7.943282347242757e-06,1.0,1
190,200,9.999999999999918e-06,1.0,1
191,200,1.258925411794156e-05,1.0,1
192,200,1.584893192461098e-05,1.0,2
193,200,1.9952623149688583e-05,1.0,3
194,200,2.5118864315095514e-05,1.0,3
195,200,3.16227766016834e-05,1.0,3
196,200,3.981071705534921e-05,1.0,3
197,200,5.011872336272653e-05,1.0,4
198,200,6.30957344480184e-05,1.0,5
199,200,7.943282347242692e-05,1.0,5
200,200,9.999999999999836e-05,1.0,8
201,200,0.00012589254117941455,1.0,8
202,200,0.0001584893192461085,1.0,11
203,200,0.00019952623149688422,1.0,14
204,200,0.0002511886431509531,1.0,14
205,200,0.0003162277660168315,1.0,16
206,200,0.0003981071705534888,1.0,18
207,200,0.0005011872336272613,1.0,23
208,200,0.0006309573444801788,1.0,28
209,200,0.0007943282347242627,1.0,30
210,200,0.0009999999999999755,1.0,32
211,200,0.0012589254117941352,1.0,36
212,200,0.001584893192461072,1.0,38
213,200,0.0019952623149688256,1.0,38
214,200,0.00251188643150951,1.0,41
215,200,0.0031622776601682888,1.0,41
216,200,0.0039810717055348555,1.0,42
217,200,0.005011872336272571,1.0,42
218,200,0.006309573444801736,1.0,44
219,200,0.007943282347242562,1.0,44
220,200,0.009999999999999672,1.0,46
221,200,0.01258925411794125,1.0,46
222,200,0.01584893192461059,1.0,47
223,200,0.019952623149688094,1.0,47
224,200,0.025118864315094896,1.0,47
225,200,0.03162277660168263,1.0,48
226,200,0.03981071705534823,1.0,47
227,200,0.0501187233627253,1.0,47
228,200,0.06309573444801685,1.0,47
229,200,0.07943282347242496,1.0,47
230,200,0.09999999999999591,1.0,47
231,200,0.12589254117941148,1.0,47
232,200,0.1584893192461046,1.0,47
233,200,0.1995262314968793,1.0,46
234,200,0.2511886431509469,1.0,45
235,200,0.31622776601682373,1.0,44
236,200,0.398107170553479,1.0,43
237,200,0.5011872336272489,1.0,43
238,200,0.6309573444801633,1.0,42
239,200,0.7943282347242432,1.0,40
